entry_time,exit_time,break_duration,department
09:44:59,16:12:26,cfasew,Logistics
09:16:14,Unknown,64,Logistics
,,35,Unknown
,17:13:37,46,Product
10:27:13,16:27:49,cfasew,Product
09:38:56,18:26:23,56,IT
08:52:16,16:12:32,45,Accounting
Unknown,18:27:05,,Unknown
08:01:41,17:16:01,70,Accounting
,17:53:57,70,Accounting
Unknown,18:47:36,83,Logistics
09:23:54,Unknown,36,Unknown
Unknown,Unknown,,Unknown
08:02:03,17:16:00,80,Finance
10:46:04,16:54:01,cfasew,Logistics
09:09:00,,82,IT
09:10:08,18:31:32,82,Unknown
Unknown,Unknown,,Product
Unknown,17:59:04,35,Product
,Unknown,46,
09:50:18,18:15:28,51,Data
08:01:45,17:32:45,36,Product
,18:36:32,34,Finance
08:50:33,,61,Sales
09:20:48,16:44:17,62,Marketing
Unknown,18:34:09,cfasew,
08:27:48,17:51:14,35,IT
08:13:05,,,Unknown
10:12:45,,86,Finance
08:08:59,18:54:31,cfasew,Accounting
Unknown,,,
Unknown,Unknown,67,Marketing
Unknown,16:26:03,59,Sales
,,,Sales
Unknown,Unknown,,Sales
Unknown,16:37:31,,Logistics
,18:15:48,46,Accounting
10:37:15,17:19:46,cfasew,Unknown
10:53:45,16:52:53,,Unknown
10:04:35,,45,Unknown
10:44:13,16:56:00,cfasew,Marketing
08:26:38,17:45:08,,Data
09:23:28,Unknown,86,Unknown
Unknown,17:03:47,83,Unknown
,17:37:25,46,Unknown
Unknown,18:59:45,66,Data
09:26:37,17:10:55,86,Unknown
09:04:26,Unknown,78,Accounting
10:25:36,,75,Logistics
Unknown,16:28:51,76,Unknown
,,cfasew,Accounting
,17:53:13,,Finance
08:20:39,16:04:36,40,Logistics
09:15:01,Unknown,cfasew,Logistics
09:44:50,17:10:01,75,
08:32:18,17:36:56,39,Finance
Unknown,16:28:29,36,Logistics
,Unknown,79,Accounting
,17:50:44,cfasew,Finance
,16:03:08,,Data
,18:37:52,43,IT
10:32:59,16:00:12,80,Unknown
10:36:43,16:05:29,,Unknown
10:32:34,17:28:37,77,Sales
,18:07:37,67,
Unknown,17:27:45,70,Sales
,17:58:36,70,
,18:29:56,,Marketing
09:06:10,16:06:59,41,Accounting
,Unknown,cfasew,Product
09:17:29,18:19:47,88,Data
08:39:00,17:35:44,,
,,cfasew,Finance
Unknown,17:29:39,cfasew,Unknown
,,82,IT
10:12:26,18:55:34,32,IT
09:50:13,,82,Unknown
Unknown,17:37:15,,Unknown
Unknown,18:30:42,74,
08:02:15,17:55:38,30,
08:45:48,17:44:07,55,Unknown
09:51:40,16:35:09,46,Marketing
,16:00:13,54,IT
08:25:13,18:40:05,cfasew,Unknown
08:10:48,Unknown,53,Marketing
08:15:15,Unknown,cfasew,Data
08:57:01,Unknown,89,Unknown
09:56:58,Unknown,cfasew,Unknown
Unknown,16:47:08,67,Data
09:47:58,16:59:43,75,Product
Unknown,17:33:29,42,Data
08:15:53,17:44:08,75,Sales
10:24:37,17:59:23,40,Marketing
,,85,Unknown
Unknown,18:22:48,cfasew,IT
10:56:01,Unknown,77,Finance
09:15:57,Unknown,,Unknown
,Unknown,cfasew,
,17:35:37,86,Data
,Unknown,87,Finance
09:09:16,16:04:03,57,Logistics
Unknown,17:31:48,cfasew,Unknown
10:57:03,Unknown,40,Data
10:03:45,Unknown,,Unknown
10:42:51,18:59:07,33,Unknown
10:59:31,Unknown,,Product
Unknown,17:03:50,cfasew,Product
Unknown,16:46:17,cfasew,Finance
Unknown,17:55:54,34,Product
09:24:00,17:14:36,54,Finance
,,cfasew,Logistics
08:31:48,18:31:02,,Accounting
08:30:46,16:39:21,33,Sales
09:04:34,Unknown,cfasew,Accounting
09:09:10,16:33:29,73,
Unknown,,cfasew,IT
10:35:38,Unknown,51,IT
10:05:11,16:52:45,cfasew,Product
10:58:27,17:22:00,cfasew,
Unknown,18:15:24,34,
09:24:20,16:54:16,88,Product
09:17:21,17:56:12,47,
10:34:03,16:38:43,,Logistics
10:42:27,,58,
,17:35:49,,Logistics
08:22:41,,30,IT
10:59:06,16:19:13,cfasew,IT
08:57:10,18:44:10,73,Marketing
Unknown,Unknown,70,Unknown
08:02:08,Unknown,32,IT
Unknown,Unknown,50,
,Unknown,cfasew,
08:24:48,17:26:57,90,Product
,17:25:15,55,Unknown
,16:37:02,59,Marketing
10:17:32,18:02:37,,Sales
Unknown,Unknown,46,Unknown
09:39:20,Unknown,78,Unknown
08:05:49,18:23:14,49,Finance
08:38:24,18:50:28,87,Data
08:55:26,Unknown,44,Sales
09:59:26,17:48:39,,
10:39:15,Unknown,,Marketing
,,cfasew,Unknown
09:24:25,17:39:53,50,Unknown
Unknown,16:59:49,cfasew,Finance
,Unknown,50,Product
08:59:03,,,IT
09:50:55,16:51:01,cfasew,Product
08:53:06,Unknown,42,Unknown
Unknown,,,Finance
10:24:34,17:52:00,cfasew,Unknown
10:28:30,16:46:50,cfasew,Logistics
08:11:25,,cfasew,Product
08:56:30,17:52:59,33,IT
08:19:19,17:21:51,58,IT
10:07:21,Unknown,,Sales
10:18:12,,31,Sales
09:51:30,16:14:34,59,Data
10:42:26,Unknown,cfasew,Data
10:44:49,,,Accounting
Unknown,Unknown,55,
Unknown,18:01:25,74,
10:11:41,17:24:29,,Sales
10:00:58,17:28:07,,Unknown
09:43:42,18:10:44,55,Accounting
08:05:55,18:37:56,cfasew,Finance
09:06:08,18:23:21,,IT
10:54:13,16:15:42,cfasew,Data
10:44:39,17:32:15,,Accounting
10:12:53,,38,Accounting
10:35:26,16:59:18,61,Unknown
,17:00:11,59,
09:53:07,18:49:43,64,Finance
Unknown,16:11:50,54,IT
09:52:38,18:33:40,41,Unknown
09:33:28,17:53:50,87,Sales
10:28:30,17:36:52,75,Data
08:02:42,18:40:54,71,
10:03:51,16:47:34,49,Marketing
08:18:13,,,
Unknown,17:16:05,88,Logistics
10:52:44,,53,Product
10:29:32,17:00:35,31,Accounting
09:23:38,,cfasew,Product
Unknown,18:08:07,84,Finance
08:33:17,,32,Sales
09:00:20,,68,Unknown
09:34:24,18:52:01,cfasew,Unknown
09:32:33,,cfasew,Data
10:45:09,16:08:40,cfasew,Accounting
09:39:22,Unknown,,
09:52:13,17:21:42,,Marketing
09:51:30,16:05:39,,Unknown
,,,Finance
08:10:45,17:29:17,69,Marketing
10:49:57,18:42:22,cfasew,Unknown
08:22:23,,,Unknown
,16:45:17,56,
Unknown,Unknown,78,Product
09:06:44,16:09:08,36,Unknown
,18:33:52,64,
Unknown,17:21:15,43,Accounting
08:20:28,Unknown,79,Logistics
08:37:15,18:55:39,48,Data
Unknown,17:52:31,61,Sales
Unknown,16:52:02,,Product
10:56:58,17:07:25,81,
08:56:55,16:34:49,89,Unknown
Unknown,17:03:36,67,Data
10:56:55,17:00:46,82,
08:50:38,Unknown,55,Unknown
10:19:15,,,Data
09:54:17,Unknown,cfasew,Finance
Unknown,16:17:58,67,Sales
Unknown,18:11:38,71,Finance
08:07:57,16:10:54,46,Unknown
10:53:26,18:43:32,71,Unknown
08:43:35,Unknown,41,Unknown
09:55:24,,63,Data
08:48:59,18:49:20,69,Data
Unknown,16:27:57,88,
09:50:25,Unknown,88,Unknown
08:32:45,17:02:58,61,Finance
Unknown,16:04:54,55,IT
,18:51:18,,Data
09:25:03,16:40:51,cfasew,Sales
08:44:57,17:00:39,cfasew,IT
,Unknown,73,
09:16:13,16:28:24,cfasew,Marketing
09:34:25,,71,
09:39:51,17:19:05,56,Unknown
Unknown,18:23:09,63,Marketing
10:01:57,Unknown,89,Unknown
10:18:11,,36,Accounting
09:32:55,18:03:52,,Unknown
08:50:15,17:28:39,38,Unknown
09:36:48,16:49:22,51,Logistics
08:02:00,16:46:30,68,Logistics
09:54:45,17:11:57,,Data
09:25:35,18:20:16,75,IT
Unknown,18:54:03,50,Logistics
Unknown,17:30:43,81,Unknown
,16:53:33,31,
10:48:26,Unknown,,Sales
10:27:16,,59,Marketing
09:03:02,18:45:49,,
10:32:30,18:44:23,45,IT
Unknown,17:29:38,72,
09:52:09,18:44:26,76,
08:36:46,18:54:49,,Unknown
10:09:17,16:38:14,39,Product
08:57:08,16:43:39,76,Unknown
08:18:29,17:40:30,73,Unknown
10:06:09,16:47:18,48,Marketing
10:56:27,18:17:11,32,Unknown
10:18:55,16:43:04,90,Unknown
08:08:33,16:55:08,85,
,16:02:50,44,Accounting
08:38:10,17:15:16,,Sales
08:51:33,Unknown,cfasew,Accounting
,18:32:33,72,Data
08:42:52,16:51:21,cfasew,
08:53:28,Unknown,cfasew,Unknown
,Unknown,58,Accounting
09:38:16,Unknown,cfasew,Sales
09:46:39,Unknown,58,
10:47:35,Unknown,,Data
08:29:16,18:58:20,74,Unknown
09:11:28,17:24:16,75,Unknown
10:51:50,,48,Marketing
,17:20:50,47,
10:40:19,18:28:49,50,Unknown
,18:57:56,89,Marketing
10:43:20,18:35:38,80,Finance
10:54:57,17:40:06,43,Product
09:38:52,18:41:29,cfasew,Logistics
,Unknown,40,Data
,17:31:23,41,Accounting
08:05:19,17:47:44,,Sales
,16:00:08,39,Marketing
08:21:12,17:20:56,80,Marketing
,Unknown,,Finance
08:19:24,17:04:39,58,Logistics
08:45:43,Unknown,87,
08:32:47,17:33:01,71,Product
08:50:17,16:21:44,63,Data
10:20:55,16:21:44,72,IT
08:37:32,18:52:34,90,Unknown
08:45:09,16:37:55,cfasew,Unknown
Unknown,18:44:05,71,Finance
Unknown,17:50:12,85,Finance
,16:49:09,cfasew,
,16:20:13,,Marketing
08:35:25,16:03:21,75,Sales
Unknown,16:34:49,,Finance
,16:47:23,90,
08:51:37,17:32:16,62,Sales
Unknown,17:27:58,58,Accounting
09:24:53,,,Marketing
10:14:22,Unknown,63,Marketing
08:36:15,17:39:47,55,Logistics
Unknown,17:00:18,49,IT
Unknown,Unknown,61,Logistics
,16:33:57,,Marketing
09:59:46,Unknown,68,IT
10:11:38,18:55:17,39,Marketing
09:12:12,,46,Unknown
08:40:15,16:21:18,33,
08:21:13,18:44:53,43,Logistics
08:23:04,16:23:44,51,Accounting
08:43:29,17:13:12,cfasew,Marketing
10:42:35,17:52:57,cfasew,Accounting
Unknown,17:41:17,51,Logistics
10:54:21,17:12:35,,Accounting
Unknown,Unknown,cfasew,Sales
09:52:33,18:03:43,,Unknown
08:13:08,16:58:59,,Data
09:17:18,18:07:47,89,Data
10:36:35,17:51:53,cfasew,Marketing
Unknown,17:48:54,36,Marketing
09:24:58,17:19:12,48,Product
08:15:02,Unknown,63,
10:03:14,,,IT
09:12:39,18:04:53,63,Sales
,18:38:04,58,Finance
,18:11:44,cfasew,Unknown
10:54:10,Unknown,87,Accounting
Unknown,17:55:21,cfasew,Unknown
,18:40:24,68,Sales
Unknown,16:41:21,,Marketing
,,41,Unknown
Unknown,18:36:32,cfasew,
08:51:03,,73,IT
10:44:07,17:53:32,75,
08:01:56,Unknown,83,Sales
,18:25:47,30,Finance
Unknown,16:12:11,47,Accounting
,Unknown,63,Data
,18:52:51,66,Finance
08:36:45,18:13:32,cfasew,
,16:32:43,cfasew,
Unknown,Unknown,cfasew,
Unknown,,cfasew,
10:14:37,18:33:41,80,Finance
10:05:30,18:33:25,83,Finance
08:03:27,Unknown,30,Marketing
10:12:21,Unknown,80,Data
09:01:25,16:02:17,74,IT
08:29:56,Unknown,47,Accounting
08:45:23,17:39:00,45,
09:17:23,16:21:51,cfasew,
Unknown,17:05:50,40,Logistics
08:23:28,18:53:55,,Unknown
10:48:46,18:11:59,30,Accounting
09:51:15,17:47:38,67,Sales
10:41:31,18:51:51,46,Sales
Unknown,17:54:11,,Accounting
09:55:14,,,Unknown
10:52:12,Unknown,81,Unknown
10:32:01,Unknown,56,
Unknown,16:29:16,82,Product
10:23:59,Unknown,32,Logistics
08:19:28,16:33:15,cfasew,Logistics
10:15:58,18:50:28,86,Logistics
09:14:02,16:27:40,66,
08:11:32,,57,
10:56:58,Unknown,,Unknown
Unknown,16:33:58,36,IT
10:37:23,16:00:19,81,IT
Unknown,Unknown,48,Finance
10:33:49,Unknown,88,Unknown
Unknown,,52,
08:21:04,17:05:22,cfasew,
Unknown,,cfasew,Unknown
10:39:28,,,Logistics
Unknown,16:03:08,,Product
08:49:00,17:37:08,65,Unknown
10:50:59,,62,Product
08:18:20,17:49:44,cfasew,Unknown
09:27:58,18:55:55,,Sales
,17:05:02,,Unknown
09:04:54,17:54:52,41,Marketing
Unknown,17:37:14,52,Finance
,18:25:21,63,Sales
10:36:18,18:55:53,51,Unknown
10:59:08,Unknown,90,IT
Unknown,18:23:51,cfasew,
Unknown,16:15:34,70,Unknown
09:39:43,Unknown,72,Product
10:24:58,,cfasew,Sales
,16:59:17,70,Accounting
08:34:25,17:09:49,51,Accounting
08:17:37,,54,Accounting
,,cfasew,
Unknown,Unknown,65,
,,cfasew,Sales
Unknown,,cfasew,Logistics
09:34:32,Unknown,,Product
10:10:57,17:20:00,54,Logistics
08:47:50,18:31:51,67,IT
08:33:37,Unknown,39,Unknown
Unknown,17:37:26,75,Data
,18:49:37,42,IT
10:16:32,17:42:54,cfasew,Unknown
10:43:51,18:56:11,50,Data
10:24:32,,41,Data
,Unknown,cfasew,
08:15:05,18:26:58,65,Data
10:35:24,16:08:54,82,Product
Unknown,16:34:48,cfasew,Unknown
10:54:10,17:42:16,48,Unknown
,Unknown,85,Data
10:09:49,Unknown,cfasew,Unknown
10:40:34,Unknown,,Product
,18:31:19,44,
09:18:49,Unknown,44,
,18:38:32,80,
Unknown,Unknown,cfasew,Logistics
09:40:25,Unknown,cfasew,Unknown
09:21:28,16:52:07,cfasew,Unknown
08:15:48,18:40:23,,Product
08:51:41,Unknown,,Logistics
08:43:23,,46,Unknown
08:17:11,16:32:38,85,Sales
Unknown,Unknown,,Marketing
09:26:01,16:38:12,44,
08:19:52,,85,
09:15:32,17:24:17,48,Data
,Unknown,83,Unknown
09:24:47,18:05:31,68,IT
Unknown,16:57:47,cfasew,Sales
08:23:42,Unknown,72,Unknown
09:20:26,Unknown,64,Finance
08:38:36,16:45:15,72,Marketing
10:36:39,17:57:21,cfasew,Accounting
08:29:22,18:45:33,cfasew,
Unknown,17:33:33,48,Data
Unknown,16:09:14,89,Unknown
09:14:56,17:03:59,62,
Unknown,18:18:48,62,Marketing
08:23:44,18:57:05,44,Product
Unknown,18:42:43,83,Logistics
,18:16:05,40,Finance
09:48:55,18:06:57,69,IT
09:13:07,17:50:53,76,Sales
,Unknown,cfasew,
Unknown,16:56:34,79,Marketing
10:28:18,17:30:17,60,
09:40:05,16:22:31,40,Unknown
09:36:51,,88,Product
Unknown,Unknown,87,Unknown
Unknown,17:05:30,,Unknown
10:31:27,16:37:40,52,Unknown
08:11:23,16:40:16,cfasew,Data
08:55:13,18:20:41,47,
Unknown,17:16:08,,Unknown
08:54:49,,42,Finance
Unknown,16:09:50,cfasew,Logistics
,16:12:51,cfasew,Sales
09:55:59,18:27:57,71,Unknown
09:41:06,,42,Accounting
10:28:45,17:33:01,cfasew,Unknown
08:16:32,,42,Finance
,16:02:19,cfasew,Finance
08:44:33,16:55:53,55,Product
Unknown,16:31:39,,Marketing
08:16:36,,61,
Unknown,Unknown,33,Finance
09:03:30,16:55:34,cfasew,Unknown
,,cfasew,Unknown
09:24:28,17:13:04,35,Unknown
,16:48:35,84,
Unknown,17:51:50,53,
,18:14:05,65,Unknown
Unknown,Unknown,74,Data
10:05:20,17:39:48,,Marketing
09:27:18,17:46:04,66,Logistics
Unknown,Unknown,57,
09:57:41,Unknown,cfasew,Product
09:10:04,Unknown,cfasew,Product
08:39:00,17:53:49,45,Sales
09:11:27,16:05:55,70,Accounting
Unknown,16:00:18,77,
,18:14:55,50,Sales
,16:37:38,,Marketing
08:57:52,16:47:52,79,Product
,17:28:47,50,Data
10:11:39,16:42:09,,Product
,18:09:07,,IT
10:17:32,17:19:09,57,Unknown
09:29:29,17:01:33,cfasew,Product
09:42:39,16:10:28,,Marketing
08:00:02,Unknown,68,
08:43:02,17:25:59,,Accounting
,Unknown,79,
,17:56:21,,IT
,Unknown,38,
09:27:13,18:49:52,44,Logistics
08:12:10,18:55:18,83,
09:56:40,17:21:51,73,Sales
08:21:24,18:33:00,64,Accounting
08:07:17,,cfasew,Marketing
09:51:23,,cfasew,Sales
10:03:31,,65,Sales
Unknown,17:35:26,,Product
,17:28:36,,Sales
10:55:36,Unknown,cfasew,Unknown
08:00:17,16:46:38,84,
08:56:37,16:41:34,,Logistics
08:38:39,18:24:48,cfasew,IT
,Unknown,,Unknown
Unknown,Unknown,43,Sales
09:07:50,17:41:39,,Product
Unknown,17:55:17,67,Data
,Unknown,73,Unknown
08:16:23,18:34:47,cfasew,
,17:44:33,cfasew,Product
10:22:23,Unknown,52,Sales
09:33:28,Unknown,69,
Unknown,Unknown,47,Unknown
10:41:41,Unknown,cfasew,Unknown
Unknown,16:43:42,63,IT
Unknown,17:31:19,63,Unknown
09:34:24,16:34:14,71,Accounting
09:23:53,16:46:42,,IT
,17:18:14,70,Product
Unknown,18:51:20,76,Accounting
08:06:30,Unknown,78,Logistics
Unknown,17:02:16,48,Unknown
10:20:15,17:25:02,,
09:44:11,Unknown,,Data
Unknown,18:19:55,71,Logistics
Unknown,17:53:46,cfasew,Finance
,17:52:52,,Product
,,cfasew,Unknown
09:59:27,17:01:17,44,Marketing
08:51:02,16:30:10,77,Data
08:49:57,16:46:52,,Product
,,36,Unknown
,16:32:26,62,Sales
09:28:15,18:32:49,48,Accounting
10:54:14,17:16:42,38,Unknown
10:12:01,17:35:17,69,
10:23:30,16:15:46,,Unknown
10:39:36,18:18:20,70,Marketing
08:17:01,17:55:04,68,
10:40:36,Unknown,73,Sales
Unknown,17:40:17,62,Logistics
Unknown,,cfasew,Logistics
08:19:35,18:22:56,60,Logistics
Unknown,17:54:43,76,Unknown
08:37:33,18:15:16,77,Logistics
10:42:36,17:49:42,cfasew,Unknown
10:15:52,18:01:13,58,IT
09:19:22,16:50:43,,
08:48:53,Unknown,70,
09:21:05,Unknown,cfasew,Unknown
09:51:11,16:37:29,cfasew,Marketing
09:58:39,16:36:20,cfasew,Accounting
10:25:07,17:56:07,79,IT
09:37:17,16:11:41,34,
08:40:12,17:26:26,30,Sales
09:37:10,18:30:09,53,IT
10:26:51,16:16:26,86,Data
Unknown,18:04:40,cfasew,
Unknown,18:44:50,cfasew,IT
10:48:05,17:24:55,82,Accounting
Unknown,18:28:04,cfasew,Logistics
10:06:09,18:20:17,52,Unknown
09:26:14,Unknown,cfasew,Accounting
08:49:07,17:46:15,39,
Unknown,18:03:02,cfasew,
09:30:00,16:15:32,90,Unknown
Unknown,17:39:59,cfasew,Finance
10:35:33,Unknown,cfasew,
Unknown,16:32:17,cfasew,Sales
Unknown,18:07:56,62,
09:40:53,,55,Unknown
10:14:23,Unknown,70,Product
09:39:58,17:15:07,55,Sales
10:25:40,17:44:46,cfasew,Unknown
08:00:52,18:59:02,53,Unknown
,,,Finance
,16:16:38,67,Unknown
Unknown,,cfasew,
10:47:50,Unknown,81,Finance
10:41:16,16:36:59,44,Finance
09:47:35,18:25:35,53,Data
10:31:07,16:30:19,,Finance
10:15:18,Unknown,35,Unknown
10:11:12,,71,Unknown
10:47:30,18:33:06,,IT
10:39:29,,47,Product
Unknown,17:44:19,,Accounting
10:15:44,16:16:42,36,Unknown
08:34:50,16:33:09,90,
Unknown,Unknown,49,Unknown
Unknown,Unknown,cfasew,Sales
10:55:00,Unknown,86,Logistics
,18:32:39,48,Product
08:46:54,17:16:45,,IT
08:27:20,16:26:53,77,Marketing
08:18:39,18:14:43,55,Marketing
09:34:31,Unknown,83,
09:43:06,Unknown,45,Product
09:58:26,Unknown,cfasew,Unknown
10:47:59,16:28:11,cfasew,
10:23:29,18:26:44,42,Finance
Unknown,16:09:30,49,
09:13:58,17:49:36,35,Finance
10:25:55,17:04:41,cfasew,
10:54:13,17:48:03,90,Logistics
08:28:35,18:39:34,81,Marketing
10:50:45,Unknown,,
Unknown,,44,Finance
,17:12:03,36,Product
09:15:31,Unknown,66,Unknown
09:18:24,Unknown,cfasew,Finance
09:16:16,17:17:11,79,Accounting
Unknown,18:35:16,,Finance
Unknown,18:54:20,62,Marketing
08:36:21,18:24:57,,Unknown
Unknown,18:29:22,cfasew,Accounting
09:35:03,,87,
09:32:21,16:25:05,69,Product
,18:17:46,cfasew,
08:35:37,18:50:09,cfasew,
08:14:50,18:24:48,57,Unknown
Unknown,17:49:32,83,Logistics
,16:32:10,69,Data
08:08:02,16:22:59,32,Unknown
10:52:04,17:13:47,cfasew,Finance
08:36:31,Unknown,37,Data
,16:31:46,83,Sales
Unknown,17:12:18,46,Marketing
10:30:52,Unknown,,Marketing
08:20:04,17:38:11,49,
09:43:47,,,Marketing
09:46:04,16:25:50,31,Finance
09:33:20,Unknown,64,
Unknown,Unknown,36,Sales
Unknown,18:14:30,cfasew,Logistics
08:41:30,Unknown,57,Unknown
09:36:29,,53,Data
09:28:02,17:49:37,65,Product
Unknown,16:53:49,36,Finance
09:48:45,18:34:09,cfasew,IT
09:22:37,18:32:19,cfasew,Data
10:23:33,17:56:49,68,Unknown
08:15:20,16:57:14,77,Data
10:28:01,,62,Sales
Unknown,Unknown,cfasew,IT
10:19:27,,84,Product
,16:14:22,,Unknown
10:48:14,17:11:35,62,
10:34:31,18:00:05,,
10:14:43,16:24:02,34,Product
09:26:50,18:22:45,72,Data
08:25:34,,32,Finance
10:49:04,16:38:06,87,Logistics
10:07:17,Unknown,42,Product
10:15:14,Unknown,50,Product
10:05:13,16:26:05,41,
09:22:55,16:00:08,cfasew,Product
08:31:40,Unknown,cfasew,Product
09:47:26,16:54:02,48,Accounting
Unknown,Unknown,55,Logistics
10:36:48,17:56:01,69,Unknown
10:46:11,17:07:54,47,
09:30:42,Unknown,90,Unknown
Unknown,18:18:05,cfasew,Data
10:16:14,18:18:06,74,Marketing
10:26:48,18:12:04,cfasew,Marketing
08:12:26,16:17:52,50,IT
09:26:26,16:24:52,cfasew,Logistics
10:38:52,Unknown,,Unknown
Unknown,18:25:34,58,Unknown
09:09:36,17:53:27,45,IT
09:25:37,16:52:20,63,Unknown
,Unknown,cfasew,Logistics
Unknown,16:18:05,36,IT
08:45:33,18:37:30,43,Data
08:54:55,,cfasew,Logistics
,,cfasew,Product
08:42:39,,,
10:50:25,Unknown,cfasew,Unknown
09:02:22,Unknown,49,Finance
09:36:12,Unknown,53,
08:49:51,18:09:48,37,IT
10:02:47,Unknown,31,Data
,Unknown,37,Unknown
10:35:36,17:21:46,cfasew,Unknown
,Unknown,41,Sales
10:31:47,17:58:15,55,Product
08:27:24,,43,
10:12:28,18:04:06,89,Accounting
09:43:31,Unknown,85,Sales
Unknown,,69,Unknown
Unknown,18:06:14,cfasew,Logistics
Unknown,Unknown,39,Data
Unknown,18:58:48,79,Accounting
,,87,Product
,16:13:57,81,Accounting
10:14:37,Unknown,79,
09:02:29,18:29:30,33,Unknown
Unknown,17:49:21,52,Unknown
10:47:25,17:28:40,cfasew,Marketing
08:30:30,17:00:31,46,Marketing
10:13:20,Unknown,61,
10:47:49,18:52:35,71,
Unknown,17:03:59,37,Data
Unknown,16:31:23,cfasew,Unknown
09:16:37,Unknown,47,Finance
Unknown,,,Sales
09:35:01,Unknown,cfasew,Accounting
10:40:34,Unknown,cfasew,Unknown
09:28:03,,42,Unknown
08:42:58,Unknown,39,Unknown
08:16:19,16:59:27,cfasew,Accounting
10:58:48,18:51:49,84,Marketing
,Unknown,32,Unknown
09:26:06,,88,
